"y_on_time_b","on_time_a","planned_dur_a","planned_dur_b","planned_layover_sec","ampeak_a","pmpeak_a","route_pair"
1,1,1920,1920,0,1,0,"16_16"
1,1,2520,2820,120,0,0,"21_21"
1,1,2880,2760,120,0,0,"21_21"
1,1,1740,1740,120,0,0,"73_73"
1,1,1680,1740,360,0,0,"13_13"
1,1,1740,1860,360,0,0,"13_6"
1,1,1860,1920,360,0,0,"6_6"
1,1,1920,3300,300,0,0,"6_21"
1,1,3300,3240,120,0,0,"21_21"
0,1,3240,3540,540,0,1,"21_21"
1,1,1620,3600,660,0,0,"3_123"
1,1,3600,3960,660,0,0,"123_123"
1,1,3060,2760,120,1,0,"21_21"
1,1,2760,900,420,0,0,"21_74"
1,1,900,1680,0,0,0,"74_74"
1,1,1680,2880,840,0,0,"74_21"
1,1,2880,2880,120,0,0,"21_21"
1,1,2880,2400,300,0,0,"21_14"
0,1,2400,2520,300,0,0,"14_14"
1,0,2520,1620,360,0,0,"14_99"
1,1,1620,3420,0,0,0,"99_99"
1,1,3420,2640,660,0,0,"99_14"
0,1,2640,2460,360,0,1,"14_32"
1,0,2460,2640,240,0,1,"32_32"
1,1,1740,2760,600,0,0,"15_21"
1,1,2760,3180,240,1,0,"21_21"
1,1,2640,2760,420,1,0,"21_21"
1,1,2760,3180,180,1,0,"21_21"
1,1,3180,3060,600,1,0,"21_21"
1,1,3060,2760,120,1,0,"21_21"
1,1,2760,2400,360,0,0,"21_14"
1,1,2400,2520,300,0,0,"14_14"
1,1,1740,1920,120,0,0,"32_32"
1,1,3480,3300,300,0,0,"4_21"
1,1,3300,3240,120,0,0,"21_21"
1,1,2700,2340,120,0,1,"421_421"
1,1,2340,3000,660,0,1,"421_21"
1,1,3000,3000,120,0,1,"21_21"
1,1,3000,1800,780,0,1,"21_1"
1,1,1800,1620,0,0,0,"1_1"
1,1,1620,2700,480,0,0,"1_21"
1,1,2700,2700,120,0,0,"21_21"
1,1,2580,1980,780,0,0,"8_8"
1,1,1980,1860,600,0,0,"15_6"
1,1,1860,1860,360,0,0,"6_6"
1,1,1860,3300,300,0,0,"6_21"
1,1,3300,3480,120,0,0,"21_21"
1,1,3480,3480,0,0,0,"21_21"
1,1,3480,3300,360,0,0,"21_21"
1,1,3300,3240,120,0,0,"21_21"
1,1,3240,3240,540,0,1,"21_21"
1,1,1200,1440,0,0,0,"71_71"
1,1,1440,1800,540,0,0,"71_54"
1,1,1800,1740,300,0,0,"54_54"
0,1,1740,1560,300,0,0,"54_20"
0,0,1560,2100,0,0,0,"20_20"
0,0,2100,3300,300,0,0,"20_21"
0,0,3300,3240,120,0,0,"21_21"
1,0,3240,3240,540,0,1,"21_21"
