"on_time_a","planned_dur_b","p85_pct_b","range7525_b","planned_layover_sec","ampeak_a","pmpeak_a","route_pair"
0,1900,"0.971985","241.93","510.0000000000000000",0,1,"123_1_120_0"
0,1900,"0.971985","241.93","444.9295774647887324",0,1,"123_1_123_0"
0,1900,"0.971985","241.93","0.00000000000000000000",0,1,"123_1_123_1"
0,1900,"0.971985","241.93","840.0000000000000000",0,1,"123_1_13_0"
0,1900,"0.971985","241.93","300.0000000000000000",0,1,"123_1_15_0"
0,1900,"0.971985","241.93","420.0000000000000000",0,1,"123_1_16_0"
0,1900,"0.971985","241.93","420.0000000000000000",0,1,"123_1_161_0"
0,1900,"0.971985","241.93","480.0000000000000000",0,1,"123_1_19_0"
0,1900,"0.971985","241.93","300.0000000000000000",0,1,"123_1_20_0"
0,1900,"0.971985","241.93","420.0000000000000000",0,1,"123_1_21_0"
0,1900,"0.971985","241.93","660.0000000000000000",0,1,"123_1_3_0"
0,1900,"0.971985","241.93","420.0000000000000000",0,1,"123_1_4_1"
0,1900,"0.971985","241.93","360.0000000000000000",0,1,"123_1_417_0"
0,1900,"0.971985","241.93","639.3442622950819672",0,1,"123_1_54_0"
0,1900,"0.971985","241.93","540.0000000000000000",0,1,"123_1_71_0"
0,1900,"0.971985","241.93","600.0000000000000000",0,1,"123_1_74_0"
0,1900,"0.971985","241.93","480.8219178082191781",0,1,"123_1_75_0"
0,1900,"0.971985","241.93","420.0000000000000000",0,1,"123_1_76_0"
0,1900,"0.971985","241.93","540.0000000000000000",0,1,"123_1_81_0"
0,1900,"0.971985","241.93","540.0000000000000000",0,1,"123_1_82_0"
0,1900,"0.971985","241.93","0.00000000000000000000",0,1,"125_0_125_0"
0,1900,"0.971985","241.93","420.0000000000000000",0,1,"125_1_120_0"
0,1900,"0.971985","241.93","0.00000000000000000000",0,1,"125_1_125_1"
0,1900,"0.971985","241.93","420.0000000000000000",0,1,"125_1_16_0"
0,1900,"0.971985","241.93","480.0000000000000000",0,1,"125_1_417_0"
0,1900,"0.971985","241.93","420.0000000000000000",0,1,"125_1_428_0"
0,1900,"0.971985","241.93","420.0000000000000000",0,1,"125_1_73_0"
0,1900,"0.971985","241.93","420.0000000000000000",0,1,"125_1_84_0"
0,1900,"0.971985","241.93","420.0000000000000000",0,1,"125_1_99_0"
0,1900,"0.971985","241.93","330.7692307692307692",0,1,"128_0_128_1"
0,1900,"0.971985","241.93","840.0000000000000000",0,1,"128_0_199_1"
0,1900,"0.971985","241.93","480.0000000000000000",0,1,"128_1_21_0"
0,1900,"0.971985","241.93","600.0000000000000000",0,1,"128_1_83_0"
