"on_time_a","planned_layover_sec","planned_dur_b","avg_var_b","ampeak_a","pmpeak_a","route_pair"
0,300,1900,-230,0,1,"14_1_14_1"
0,300,1900,-230,0,1,"14_1_15_0"
0,300,1900,-230,0,1,"14_1_19_0"
0,300,1900,-230,0,1,"14_1_28_0"
0,300,1900,-230,0,1,"14_1_3_0"
0,300,1900,-230,0,1,"14_1_4_1"
0,300,1900,-230,0,1,"14_1_54_0"
0,300,1900,-230,0,1,"14_1_6_0"
0,300,1900,-230,0,1,"14_1_73_0"
0,300,1900,-230,0,1,"14_1_88_0"
0,300,1900,-230,0,1,"14_1_99_0"
0,300,1900,-230,0,1,"15_0_15_0"
0,300,1900,-230,0,1,"15_0_15_1"
0,300,1900,-230,0,1,"15_0_160_0"
0,300,1900,-230,0,1,"15_0_31_0"
0,300,1900,-230,0,1,"15_0_37_0"
0,300,1900,-230,0,1,"15_0_42_0"
0,300,1900,-230,0,1,"15_0_43_1"
0,300,1900,-230,0,1,"15_0_47_0"
0,300,1900,-230,0,1,"15_0_5_0"
0,300,1900,-230,0,1,"15_0_60_0"
0,300,1900,-230,0,1,"15_1_13_0"
0,300,1900,-230,0,1,"15_1_14_0"
0,300,1900,-230,0,1,"15_1_15_0"
0,300,1900,-230,0,1,"15_1_15_1"
0,300,1900,-230,0,1,"15_1_21_0"
0,300,1900,-230,0,1,"15_1_23_0"
0,300,1900,-230,0,1,"15_1_3_0"
0,300,1900,-230,0,1,"15_1_410_0"
0,300,1900,-230,0,1,"15_1_6_0"
0,300,1900,-230,0,1,"15_1_71_0"
0,300,1900,-230,0,1,"15_1_73_0"
0,300,1900,-230,0,1,"15_1_8_0"
0,300,1900,-230,0,1,"15_1_80_0"
0,300,1900,-230,0,1,"15_1_83_0"
0,300,1900,-230,0,1,"15_1_84_0"
0,300,1900,-230,0,1,"160_0_160_0"
0,300,1900,-230,0,1,"160_0_160_1"
0,300,1900,-230,0,1,"160_1_13_1"
0,300,1900,-230,0,1,"160_1_15_1"
0,300,1900,-230,0,1,"160_1_160_0"
0,300,1900,-230,0,1,"160_1_160_1"
0,300,1900,-230,0,1,"160_1_31_0"
0,300,1900,-230,0,1,"160_1_33_0"
0,300,1900,-230,0,1,"160_1_38_1"
0,300,1900,-230,0,1,"160_1_42_0"
0,300,1900,-230,0,1,"160_1_43_1"
0,300,1900,-230,0,1,"160_1_5_0"
0,300,1900,-230,0,1,"160_1_50_0"
0,300,1900,-230,0,1,"16_0_16_0"
